,price,beds,baths,garage,stories,house_type,lot_sqft,sqft,year_built,address,state,city,county,price_per_sqft
16,134900.0,4.0,2.0,2.0,2.0,single_family,25051.0,2184.0,1900,164 Commercial St,NY,Gowanda,Cattaraugus,61.76739926739927
17,307900.0,3.0,2.0,2.0,1.0,single_family,14431.0,1678.0,1992,3426 Van Wie Dr E,NY,Baldwinsville,Onondaga,183.492252681764
18,725000.0,3.0,2.0,2.0,2.0,single_family,435600.0,2072.0,1890,524 Rice St,NY,Jewett,Greene,349.9034749034749
19,198900.0,3.0,2.0,0.0,2.0,single_family,3485.0,1326.0,1950,2947 Porter Rd,NY,Niagara Falls,Niagara,150.0
20,879000.0,4.0,3.0,2.0,2.0,single_family,13939.0,2658.0,1959,40 Balmoral Cres,NY,White Plains,Westchester,330.6997742663657
21,469000.0,3.0,3.0,2.0,2.0,single_family,26136.0,2740.0,1950,14 Alden Rd,NY,Poughkeepsie,Dutchess,171.16788321167883
22,675000.0,4.0,3.0,2.0,2.0,single_family,43124.0,2128.0,1974,24 Seymour Dr,NY,New City,Rockland,317.19924812030075
23,159900.0,3.0,2.0,1.0,2.0,multi_family,4373.0,1728.0,1947,2740 Grand Ave,NY,Niagara Falls,Niagara,92.53472222222223
24,279900.0,3.0,3.0,0.0,2.0,single_family,22738.0,2062.0,1976,33 Greenvalley Dr,NY,Big Flats,Chemung,135.74199806013578
25,130000.0,3.0,1.0,2.0,2.0,single_family,4129.0,1179.0,1910,57 Locust St,NY,Rochester,Monroe,110.2629346904156
26,729000.0,3.0,3.0,0.0,2.0,condos,19602.0,1740.0,1954,356 Oakleigh Ave Unit 24,NY,Baiting Hollow,Suffolk,418.9655172413793
27,825000.0,4.0,3.0,1.0,3.0,single_family,5066.0,2500.0,2005,64 Lakeside Dr,NY,Yonkers,Westchester,330.0
28,175000.0,4.0,2.0,0.0,3.0,single_family,3402.0,1692.0,1900,85 Arnett Blvd,NY,Rochester,Monroe,103.42789598108747
29,439000.0,2.0,3.0,1.0,2.0,coop,10550.0,1740.0,1985,1 Anchorage Way Apt 403,NY,Freeport,Nassau,252.29885057471265
30,1200000.0,3.0,3.0,2.0,2.0,single_family,10019.0,1740.0,1959,851 Park Ln,NY,North Woodmere,Nassau,689.6551724137931
31,295000.0,2.0,2.0,0.0,1.0,condos,20473.0,764.0,2006,2792 Sedgwick Ave Apt 3B,NY,Bronx,Bronx,386.1256544502618
32,899900.0,5.0,3.0,2.0,3.0,single_family,12197.0,3113.0,1969,7 Viking Dr,NY,West Islip,Suffolk,289.07805974943784
33,699900.0,4.0,3.0,2.0,2.0,single_family,5227.0,1740.0,1957,10 Stimson Pl,NY,Huntington,Suffolk,402.2413793103448
34,889000.0,4.0,2.0,2.0,2.0,single_family,10890.0,2300.0,1950,95 Exeter Rd,NY,Massapequa,Nassau,386.5217391304348
35,625000.0,3.0,2.0,1.0,2.0,single_family,8000.0,1740.0,1955,9 Vincent Rd,NY,Hicksville,Nassau,359.1954022988506
36,750000.0,2.0,2.0,1.0,1.0,condos,244807.0,1335.0,2019,15203 Aspenwood Dr Unit 188,NY,Plainview,Nassau,561.7977528089888
37,649999.0,2.0,1.0,1.0,2.0,single_family,7500.0,1740.0,1930,185 9th St,NY,Hicksville,Nassau,373.5626436781609
